Time,y2,y3
2022-02-21 16:19:00.190,32,32
2022-02-21 16:19:01.001,32,32
2022-02-21 16:19:01.811,32,32
2022-02-21 16:19:02.621,32,32
2022-02-21 16:19:03.431,32,32
2022-02-21 16:19:03.980,49,51
2022-02-21 16:19:04.796,51,51
2022-02-21 16:19:05.606,51,51
2022-02-21 16:19:06.416,51,51
2022-02-21 16:19:07.227,51,51
2022-02-21 16:19:08.037,51,51
2022-02-21 16:19:08.847,51,51
2022-02-21 16:19:09.658,51,51
2022-02-21 16:19:10.468,51,51
2022-02-21 16:19:11.278,51,51
2022-02-21 16:19:11.914,63,63
2022-02-21 16:19:12.723,63,63
2022-02-21 16:19:13.535,63,63
2022-02-21 16:19:14.346,63,63
2022-02-21 16:19:15.157,63,63
2022-02-21 16:19:15.969,63,63
2022-02-21 16:19:16.780,63,63
2022-02-21 16:19:17.591,63,63
2022-02-21 16:19:18.403,63,63
2022-02-21 16:19:19.214,63,63
2022-02-21 16:19:20.025,63,63
2022-02-21 16:19:20.837,63,63
2022-02-21 16:19:21.647,44,44
2022-02-21 16:19:22.458,44,44
2022-02-21 16:19:23.268,44,44
2022-02-21 16:19:23.936,61,61
2022-02-21 16:19:24.512,63,63
2022-02-21 16:19:25.320,63,63
2022-02-21 16:19:26.131,63,63
2022-02-21 16:19:26.943,63,63
2022-02-21 16:19:27.754,63,63
2022-02-21 16:19:28.566,63,63
2022-02-21 16:19:29.377,63,63
2022-02-21 16:19:30.188,63,63
2022-02-21 16:19:30.999,51,51
2022-02-21 16:19:31.809,51,51
2022-02-21 16:19:32.620,51,51
2022-02-21 16:19:33.430,51,51
2022-02-21 16:19:34.241,51,51
2022-02-21 16:19:35.051,51,51
2022-02-21 16:19:35.891,63,63
2022-02-21 16:19:36.702,63,63
2022-02-21 16:19:37.513,63,63
2022-02-21 16:19:38.324,63,63
2022-02-21 16:19:39.136,63,63
2022-02-21 16:19:39.947,63,63
2022-02-21 16:19:40.758,63,63
2022-02-21 16:19:41.410,44,44
2022-02-21 16:19:42.218,44,44
2022-02-21 16:19:43.028,44,44
2022-02-21 16:19:43.839,44,44
2022-02-21 16:19:44.649,44,44
2022-02-21 16:19:45.459,44,44
2022-02-21 16:19:46.269,44,44
2022-02-21 16:19:47.080,44,44
2022-02-21 16:19:47.890,44,44
2022-02-21 16:19:48.700,44,44
2022-02-21 16:19:49.511,44,44
2022-02-21 16:19:50.321,44,44
2022-02-21 16:19:51.131,44,44
2022-02-21 16:19:51.941,44,44
2022-02-21 16:19:52.752,44,44
2022-02-21 16:19:53.562,44,44
2022-02-21 16:19:54.372,44,44
2022-02-21 16:19:55.183,44,32
2022-02-21 16:19:55.993,32,32
2022-02-21 16:19:56.803,32,32
2022-02-21 16:19:57.614,32,32
2022-02-21 16:19:58.424,32,32
2022-02-21 16:19:59.234,32,32
2022-02-21 16:20:00.044,32,32
2022-02-21 16:20:00.855,32,32
2022-02-21 16:20:01.665,32,32
2022-02-21 16:20:02.475,32,32
2022-02-21 16:20:03.286,32,32
2022-02-21 16:20:04.096,32,32
2022-02-21 16:20:04.906,32,32
2022-02-21 16:20:05.717,32,32
2022-02-21 16:20:06.527,32,32
2022-02-21 16:20:07.337,32,32
2022-02-21 16:20:08.147,32,32
2022-02-21 16:20:08.958,32,32
2022-02-21 16:20:09.768,44,44
2022-02-21 16:20:10.578,44,44
2022-02-21 16:20:11.389,44,44
2022-02-21 16:20:12.199,44,44
2022-02-21 16:20:13.009,44,44
2022-02-21 16:20:13.820,32,32
2022-02-21 16:20:14.629,32,32
2022-02-21 16:20:54.187,12,12
2022-02-21 16:20:54.998,12,12
2022-02-21 16:20:55.808,12,12
2022-02-21 16:20:56.618,12,12
2022-02-21 16:20:57.428,12,12
2022-02-21 16:20:58.236,12,12
2022-02-21 16:21:26.494,32,32
2022-02-21 16:21:27.304,32,32
2022-02-21 16:21:28.114,32,32
2022-02-21 16:21:28.925,32,32
2022-02-21 16:21:29.735,32,32
2022-02-21 16:21:30.545,32,32
2022-02-21 16:21:31.355,32,32
2022-02-21 16:21:32.166,32,32
2022-02-21 16:21:32.976,32,32
2022-02-21 16:21:33.786,32,32
2022-02-21 16:21:34.597,32,32
2022-02-21 16:21:35.407,32,32
2022-02-21 16:21:36.217,32,32
2022-02-21 16:21:37.028,32,32
2022-02-21 16:21:37.838,32,32
2022-02-21 16:21:38.648,32,32
2022-02-21 16:21:39.458,32,32
2022-02-21 16:21:40.269,32,32
2022-02-21 16:21:41.079,32,32
2022-02-21 16:21:41.889,32,32
2022-02-21 16:21:42.700,32,32
2022-02-21 16:21:43.510,32,32
2022-02-21 16:21:44.320,32,32
2022-02-21 16:21:45.130,32,32
2022-02-21 16:21:45.941,32,32
2022-02-21 16:21:46.751,32,32
2022-02-21 16:21:47.561,32,32
2022-02-21 16:21:48.372,32,32
2022-02-21 16:21:49.182,32,32
2022-02-21 16:21:49.992,32,32
2022-02-21 16:21:50.803,32,32
2022-02-21 16:21:51.613,32,32
2022-02-21 16:21:52.423,32,32
2022-02-21 16:21:53.233,32,32
2022-02-21 16:21:54.044,32,32
2022-02-21 16:21:54.854,32,32
2022-02-21 16:21:55.664,32,32
2022-02-21 16:21:56.475,32,32
2022-02-21 16:21:57.285,32,32
2022-02-21 16:21:58.095,32,32
2022-02-21 16:21:58.906,32,32
2022-02-21 16:21:59.716,32,32
2022-02-21 16:22:00.526,32,32
2022-02-21 16:22:01.336,32,32
2022-02-21 16:22:02.147,32,32
2022-02-21 16:22:02.957,32,32
2022-02-21 16:22:03.767,32,32
2022-02-21 16:22:04.604,49,49
2022-02-21 16:22:05.164,51,51
2022-02-21 16:22:05.972,19,19
2022-02-21 16:22:06.782,19,19
2022-02-21 16:22:07.592,19,19
2022-02-21 16:22:08.403,19,19
2022-02-21 16:22:09.213,19,19
2022-02-21 16:22:10.023,19,19
2022-02-21 16:22:10.834,19,19
2022-02-21 16:22:11.644,19,19
2022-02-21 16:22:12.454,19,19
2022-02-21 16:22:13.264,19,19
2022-02-21 16:22:14.075,19,19
2022-02-21 16:22:14.885,31,19
2022-02-21 16:22:15.763,31,63
2022-02-21 16:22:16.573,31,31
2022-02-21 16:22:17.384,31,31
2022-02-21 16:22:18.195,31,31
2022-02-21 16:22:19.005,31,31
2022-02-21 16:22:19.815,31,31
2022-02-21 16:22:20.625,31,31
2022-02-21 16:22:21.436,31,31
2022-02-21 16:22:22.060,12,31
2022-02-21 16:22:22.867,12,12
2022-02-21 16:22:23.678,12,12
2022-02-21 16:22:24.488,12,12
2022-02-21 16:22:25.298,12,12
2022-02-21 16:22:26.108,12,12
2022-02-21 16:22:26.919,12,12
2022-02-21 16:22:27.729,12,12
2022-02-21 16:22:28.539,12,12
2022-02-21 16:22:29.350,12,12
2022-02-21 16:22:30.160,12,12
2022-02-21 16:22:45.320,12,12
2022-02-21 16:22:46.130,12,12
2022-02-21 16:22:46.940,12,12
2022-02-21 16:22:47.751,12,12
2022-02-21 16:22:48.561,12,12
2022-02-21 16:22:49.331,12,12
2022-02-21 16:22:49.901,17,19
2022-02-21 16:22:50.717,19,19
2022-02-21 16:22:51.528,19,19
2022-02-21 16:22:52.338,19,19
2022-02-21 16:22:53.148,19,19
2022-02-21 16:22:53.959,19,19
2022-02-21 16:22:54.769,19,19
2022-02-21 16:22:55.579,19,19
2022-02-21 16:22:56.390,19,19
2022-02-21 16:22:57.200,19,19
2022-02-21 16:22:58.010,19,19
2022-02-21 16:22:58.820,19,19
2022-02-21 16:22:59.631,19,19
2022-02-21 16:23:00.441,31,31
2022-02-21 16:23:01.251,31,31
2022-02-21 16:23:02.062,31,31
2022-02-21 16:23:02.872,31,31
2022-02-21 16:23:03.683,31,31
2022-02-21 16:23:04.494,31,31
2022-02-21 16:23:05.304,31,31
2022-02-21 16:23:06.115,31,31
2022-02-21 16:23:06.810,31,31
2022-02-21 16:23:07.618,12,12
2022-02-21 16:23:08.428,12,12
2022-02-21 16:23:09.238,12,12
2022-02-21 16:23:10.049,12,12
2022-02-21 16:23:10.859,12,12
2022-02-21 16:23:11.669,12,12
2022-02-21 16:23:12.480,12,12
2022-02-21 16:23:13.290,12,12
2022-02-21 16:23:14.100,12,12
2022-02-21 16:23:14.911,12,12
2022-02-21 16:23:15.721,12,12
2022-02-21 16:23:16.531,12,12
2022-02-21 16:23:17.342,12,12
2022-02-21 16:23:18.151,12,12
2022-02-21 16:23:33.289,19,63
2022-02-21 16:23:33.803,31,63
2022-02-21 16:23:34.612,31,31
2022-02-21 16:23:35.422,31,31
2022-02-21 16:23:36.233,31,31
2022-02-21 16:23:37.043,31,31
2022-02-21 16:23:37.853,19,31
2022-02-21 16:23:38.664,19,19
2022-02-21 16:23:39.474,19,19
2022-02-21 16:23:40.284,19,19
2022-02-21 16:23:41.095,19,19
2022-02-21 16:23:41.905,19,19
2022-02-21 16:23:42.715,19,19
2022-02-21 16:23:43.526,19,19
2022-02-21 16:23:44.336,19,19
2022-02-21 16:23:44.905,31,31
2022-02-21 16:23:45.713,31,31
2022-02-21 16:23:46.523,31,31
2022-02-21 16:23:47.333,31,31
2022-02-21 16:23:48.144,31,31
2022-02-21 16:23:48.954,31,31
2022-02-21 16:23:49.765,63,31
2022-02-21 16:23:50.575,44,31
2022-02-21 16:23:51.385,44,44
2022-02-21 16:23:52.195,44,44
2022-02-21 16:23:53.006,44,44
2022-02-21 16:23:53.816,44,44
2022-02-21 16:23:54.626,44,44
2022-02-21 16:23:55.437,44,44
2022-02-21 16:23:56.247,44,44
2022-02-21 16:23:57.057,44,44
2022-02-21 16:23:57.868,44,44
2022-02-21 16:23:58.678,44,44
2022-02-21 16:23:59.488,44,44
2022-02-21 16:24:00.298,44,44
2022-02-21 16:24:01.109,44,44
2022-02-21 16:24:01.919,44,44
2022-02-21 16:24:02.729,44,44
2022-02-21 16:24:03.540,32,32
2022-02-21 16:24:04.350,32,32
2022-02-21 16:24:05.160,32,32
2022-02-21 16:24:05.971,32,32
2022-02-21 16:24:06.781,32,32
2022-02-21 16:24:07.591,32,32
2022-02-21 16:24:08.401,32,32
2022-02-21 16:24:09.212,32,32
2022-02-21 16:24:10.022,32,32
2022-02-21 16:24:10.832,32,32
2022-02-21 16:24:11.643,32,32
2022-02-21 16:24:12.453,32,32
